Actual,Predicted
162.0,172.57079
162.99998,170.54205
163.0,168.21121
164.0,165.81711
163.99998,163.2261
164.0,161.49167
164.0,159.427
164.0,157.71921
166.0,156.19507
185.0,155.35205
167.0,154.88017
167.0,154.4344
167.0,155.68707
166.0,156.1813
165.99998,156.77805
166.0,158.07596
167.0,158.33327
166.99998,159.72824
168.0,159.05176
167.0,158.97034
168.0,158.84203
168.0,159.13538
167.0,159.35033
167.0,159.69449
166.99998,160.46771
167.0,160.36931
165.99998,160.50992
167.0,160.16493
181.0,160.72247
166.0,161.43336
166.0,161.64694
165.0,161.13379
165.0,159.85783
163.99998,157.91998
163.0,156.58151
161.0,155.47894
160.0,155.23651
159.0,153.54019
157.99998,152.75702
156.0,151.50624
155.0,150.93747
152.0,149.98262
150.0,149.04529
149.0,148.62927
150.0,147.53384
147.0,147.22372
146.0,146.38257
158.99998,144.40433
143.0,143.48315
142.0,143.13397
142.0,142.71434
142.0,142.43097
143.0,142.30186
143.0,142.72006
143.0,142.1948
142.99998,141.62714
143.0,141.0539
143.99998,140.03017
144.0,139.75395
143.0,140.18405
146.0,140.14938
142.0,140.53656
142.0,140.88354
155.0,141.18735
141.0,141.01237
140.0,141.95612
140.0,142.2128
140.0,141.35419
139.99998,141.06686
139.0,141.25357
139.0,140.1588
140.0,139.68251
139.0,140.6824
140.0,141.17877
140.0,141.19319
141.0,141.43217
142.0,142.07239
142.0,142.33144
142.0,141.85297
142.99998,142.55783
142.0,142.44257
142.99997,142.7579
155.0,142.82748
142.0,142.93839
143.0,142.91312
143.0,142.97714
143.99998,143.19041
144.0,144.01334
144.0,144.65207
143.0,145.5983
143.99998,146.49944
143.99998,146.55649
144.0,146.30588
144.99998,146.37546
145.0,146.40436
144.99998,146.54224
146.0,147.22205
146.0,148.10779
149.0,149.05275
147.0,149.37407
148.0,150.07642
161.0,150.79237
148.0,151.55211
148.99998,152.45807
150.0,153.23709
151.0,153.94644
151.0,154.03262
152.0,153.8591
153.0,154.29155
154.0,154.90665
155.0,155.65149
154.99998,156.72897
155.99998,157.72275
155.99998,159.07263
157.0,159.83664
157.99998,160.27722
157.99998,160.42198
161.0,160.42743
158.0,160.66032
157.99998,160.57478
171.0,160.73532
159.0,161.27066
160.0,162.09387
159.99998,162.89987
160.0,162.9961
159.99998,163.04288
160.0,163.71855
160.99998,163.89195
159.99998,164.18382
160.0,164.03427
161.0,163.73534
160.0,163.89377
161.0,164.35852
161.0,164.6149
162.0,164.9581
162.0,165.29012
167.0,165.251
161.99998,165.82765
163.0,165.6419
176.0,165.95007
163.0,166.3104
164.0,166.87567
165.0,167.29538
166.0,168.17282
166.0,169.5866
166.0,171.36398
166.99998,172.77884
168.0,174.65543
167.99998,175.43356
169.0,176.39017
167.99998,177.84914
284.0,179.50652
170.99998,181.2969
170.0,183.24118
169.99998,185.25455
179.0,186.88718
171.0,187.9725
171.0,187.96219
184.0,187.00964
175.0,186.50674
173.0,187.19322
174.0,186.33693
174.0,183.13525
174.0,182.79686
173.99998,184.41174
175.0,185.66043
175.0,186.55682
175.0,185.85672
175.0,186.97351
176.0,186.86708
283.0,187.2213
176.99998,187.82516
177.99998,192.65128
178.0,189.35997
186.0,197.3335
180.0,186.41417
187.0,188.35898
198.99998,187.6828
180.99998,188.34601
182.0,195.03891
182.0,192.47163
183.0,194.05106
183.0,188.8208
183.99998,189.86063
182.99998,193.62477
183.0,187.52032
183.0,186.88203
182.99998,186.33138
182.0,185.75655
182.0,185.45818
182.0,187.76881
181.0,184.00812
181.0,185.35611
193.99998,186.84134
180.0,185.48074
180.0,181.16678
189.0,183.30495
179.99998,181.6264
180.0,182.29431
181.0,183.6142
182.99998,184.24113
183.0,183.1947
183.0,184.36267
194.0,180.54128
184.0,185.04626
201.99998,179.70303
186.0,184.2604
185.0,184.67209
185.0,185.59393
185.99998,185.72244
184.0,188.28024
183.0,189.69333
186.0,189.33382
182.0,192.08911
182.0,188.50119
194.99998,188.43082
183.0,185.70822
183.0,185.74364
183.0,185.71445
183.0,183.75502
184.0,182.55951
182.99998,181.44328
183.0,180.37735
183.0,180.1058
183.0,179.26794
183.0,181.25879
182.99998,183.01196
183.0,185.51108
184.99998,189.16528
183.0,191.12761
184.0,192.76157
193.0,191.48595
185.99998,190.92749
188.0,189.21338
197.99998,187.53055
189.0,187.63988
188.99998,188.5906
190.0,189.50385
192.0,189.75043
192.0,191.62395
193.0,192.40344
195.0,193.89078
195.0,194.4607
193.99998,194.98105
196.0,194.62553
194.0,194.62799
193.0,194.361
194.0,194.13008
191.99998,194.1565
191.99998,193.19095
195.99998,195.63065
192.0,196.39082
284.0,198.43951
203.0,200.33408
197.0,202.63455
196.99998,205.8864
196.0,207.84879
198.0,208.7745
195.99998,213.19781
195.99998,212.74268
197.0,213.5164
196.0,212.73366
197.0,211.48721
198.0,207.24472
196.99998,205.5852
197.0,205.55194
200.0,202.80258
196.0,204.05884
197.0,204.18405
198.0,201.31932
197.0,196.18098
196.0,193.70773
197.0,193.37662
199.0,192.56377
199.0,193.06859
198.0,201.69058
195.99998,200.31218
191.99998,190.36693
193.0,193.69946
192.0,192.20485
192.0,189.34422
193.0,189.52777
193.0,191.83168
192.99998,196.06786
192.99998,198.61824
194.0,199.25417
194.99998,196.60353
195.0,194.5443
197.0,198.13121
196.0,199.1726
196.0,197.49612
206.0,195.30498
197.0,197.2658
198.0,199.80276
198.0,198.53285
199.0,197.93837
200.0,201.95343
201.0,203.00496
200.99998,205.19823
201.0,206.27756
202.0,207.43294
201.99998,207.56898
203.0,206.893
202.99998,205.5917
203.0,202.46637
202.99998,201.5364
203.0,200.98186
206.0,202.39929
203.0,203.58444
203.0,204.83609
212.0,205.39294
203.0,205.24715
201.99998,204.80296
201.99998,204.79146
203.0,205.33646
203.0,205.45613
202.0,205.71927
201.99998,205.89615
202.0,205.5503
202.0,206.10017
219.0,206.31775
207.99998,207.1567
206.0,208.12712
205.0,208.82364
215.99998,209.76105
210.99998,210.32257
214.0,210.43916
211.0,210.15776
210.0,210.3004
211.99998,210.40363
207.0,210.57388
206.0,210.67471
204.99998,210.33035
205.0,209.33862
207.0,209.16347
208.0,209.00352
210.0,208.61064
209.99998,208.5693
210.0,208.31352
210.99998,208.43712
210.0,208.46996
209.0,208.3675
212.0,208.42847
210.0,208.24185
210.0,207.36436
217.99998,207.19978
212.0,208.14032
210.0,210.37546
219.0,208.826
211.0,207.82318
210.0,207.52217
210.0,208.18625
210.0,207.97832
209.0,207.36737
207.99998,207.14423
210.0,207.01743
209.0,207.08997
209.0,207.012
210.99998,206.80142
211.0,206.82903
210.0,207.36037
212.0,208.31664
210.0,208.76804
209.99998,208.94736
215.99998,209.14883
210.0,209.17383
209.0,209.00394
219.99998,208.66437
209.0,208.86911
207.0,209.4923
207.0,209.60521
211.0,209.80215
209.99998,209.7873
208.99998,209.7586
209.0,209.61967
203.99998,209.57487
204.0,209.11946
204.0,208.5782
203.0,208.29306
203.0,208.24506
205.0,208.01599
205.0,207.92603
206.0,208.10039
210.0,208.36969
209.0,208.59532
209.0,209.11557
211.0,209.47942
209.0,209.39912
210.0,209.32849
211.0,210.2782
211.0,211.14798
211.0,211.64864
212.0,212.31183
214.0,212.59811
214.0,213.46129
214.0,213.38353
214.0,213.36464
213.0,213.1884
212.99998,213.18285
215.0,213.32704
212.99998,213.54488
211.99998,213.62564
220.0,213.00677
211.0,212.70686
210.0,212.6226
221.0,212.4849
211.99998,212.32253
211.99998,212.1204
212.0,212.42737
212.0,212.95668
211.99998,213.78882
214.0,214.33617
216.0,214.37486
219.0,214.30449
220.0,214.9501
219.99998,215.39355
219.0,215.60852
218.0,215.65697
217.99998,216.14868
216.99998,216.6558
217.0,217.28835
215.0,217.33368
213.0,217.47949
213.0,216.89935
214.0,215.91423
216.0,215.13916
218.0,214.90367
216.99998,215.58693
218.99998,217.58478
218.0,219.1193
215.0,220.30193
216.0,219.52904
216.0,220.59814
217.0,220.62552
218.99998,222.0016
225.99998,223.71652
229.99998,225.8415
231.0,227.29472
234.0,228.30176
236.0,229.60013
250.99998,230.86415
244.99998,232.58087
219.8,234.51756
256.0,236.29875
254.99998,237.62991
256.0,239.30188
255.0,240.91959
259.0,241.97581
249.0,242.24948
243.0,241.92273
231.0,242.23897
226.0,242.28998
224.99998,242.53555
230.0,242.64684
231.99998,242.45845
232.0,241.87466
232.0,241.36348
228.99998,241.46179
228.0,241.17422
239.0,240.9813
235.0,240.94936
238.0,240.80182
249.0,240.16185
238.0,239.9552
236.99998,239.88051
237.99998,241.208
238.0,244.46193
236.99998,246.4375
261.0,248.50154
238.0,253.17615
238.0,253.01845
237.99998,251.12172
240.0,246.64236
238.0,244.42198
238.0,240.7117
237.99998,235.40459
237.0,232.58405
236.0,228.60815
239.99998,227.68835
238.0,229.95294
236.0,235.48079
242.0,238.15762
235.99998,239.43384
235.99998,238.32713
236.0,235.96686
235.0,234.00317
234.0,233.09999
234.0,232.49141
234.99998,232.84622
233.99998,234.39621
234.0,235.76578
234.0,236.70859
235.0,237.30821
234.99998,236.0336
235.0,233.97757
235.99998,234.10056
235.99998,230.6676
238.0,231.79234
234.0,232.10059
236.0,233.62872
239.99998,235.5721
236.0,237.8906
237.0,239.24503
237.0,237.95912
236.0,238.60512
237.0,238.11531
236.99998,239.24196
238.0,240.05444
239.0,241.35374
239.99998,242.59546
241.99998,243.88947
241.99998,244.93362
242.99998,245.71545
245.0,246.93263
246.0,247.81927
247.0,249.013
253.99998,250.29756
250.0,251.08311
250.0,251.4882
252.0,251.95865
260.0,252.5544
252.0,252.9095
252.0,253.20538
252.0,253.53824
252.0,254.3375
252.0,255.0777
253.0,255.4823
253.0,256.01715
252.99998,256.5405
252.0,256.04785
252.0,255.98666
254.0,255.99358
253.99998,255.89581
256.0,256.08313
256.0,256.43637
256.0,256.85202
256.0,256.86636
258.0,257.1405
257.0,257.47644
257.0,257.69827
258.0,258.14365
263.0,258.5316
257.0,258.90445
259.0,259.29028
259.0,259.6375
267.0,259.99033
260.0,260.62598
260.0,260.96588
260.0,260.35782
260.0,260.21667
260.0,260.46725
260.0,260.5285
259.0,260.80658
259.0,261.01736
259.0,261.43695
259.0,261.41135
258.0,261.12103
258.0,261.57074
260.0,261.1817
260.0,261.3349
261.0,261.63956
263.0,262.41037
265.0,263.2235
265.0,264.1143
266.0,264.7687
267.0,265.25476
272.0,265.52548
268.0,265.66724
269.0,265.77502
269.0,265.98572
271.0,266.3731
269.0,267.00882
269.0,267.20917
267.0,267.0417
265.0,266.59177
265.0,266.3407
263.0,265.96976
262.0,265.40723
260.0,264.96173
259.0,264.10144
258.0,263.54407
258.0,262.97205
258.0,262.7836
260.0,262.66214
261.0,262.37292
262.0,262.2329
264.0,262.2086
264.0,262.29044
265.0,262.40146
265.0,262.59735
266.0,262.75446
267.0,262.83105
266.0,262.79822
265.0,262.5414
264.0,262.3858
265.0,262.61975
261.0,263.1341
259.0,263.49234
258.0,263.32156
257.0,262.93607
257.0,262.10403
256.0,260.91653
255.0,259.57806
255.0,258.35483
256.0,257.13257
256.0,256.1497
257.0,256.22247
257.0,256.13632
258.0,256.1377
257.0,256.20807
257.0,256.34564
257.0,256.3682
256.0,255.74243
255.0,254.97612
253.99998,254.04576
253.0,252.80865
255.0,251.75308
249.0,251.09091
247.0,250.208
245.0,249.21547
251.99998,248.32532
240.99998,247.84613
240.0,246.98825
238.0,245.48041
238.0,244.0699
237.99998,243.12207
238.0,242.35942
239.0,241.76947
239.99998,241.36725
239.99998,240.71559
240.99998,240.05943
241.0,239.55843
241.99998,239.93765
242.0,240.29684
242.0,240.66826
242.0,241.00009
241.99998,241.3
242.0,241.33598
241.99998,241.39923
241.0,241.69308
241.0,241.74747
243.99998,241.6827
239.0,241.66095
239.0,241.49005
238.0,240.45145
247.0,240.09926
236.0,239.84813
236.0,239.67676
236.0,239.24622
236.0,238.97679
236.99998,238.92874
237.0,238.80258
238.0,239.00465
238.0,239.0811
239.0,239.43112
240.0,239.86473
239.99998,240.132
240.0,240.4439
241.0,240.44579
241.0,240.39096
240.99998,240.44678
241.99998,240.78308
242.0,240.9633
242.0,241.12755
241.99998,241.49785
241.0,241.46414
239.99998,241.8603
239.0,242.31783
239.0,242.43803
238.99998,242.72585
240.0,242.7946
240.0,242.50066
241.0,242.28072
242.0,241.87225
242.0,241.45027
242.0,241.18425
242.0,240.93387
242.0,240.87158
240.99998,240.79536
241.0,240.86989
241.0,240.95155
240.99998,241.10329
241.0,240.88727
241.0,239.99487
240.99998,239.74121
241.0,240.12187
239.99998,239.84608
239.0,239.85017
237.99998,239.66504
240.99998,239.56245
237.0,239.27428
236.99998,238.65317
237.0,238.0186
245.0,237.78735
235.99998,237.36832
235.99998,237.10663
235.0,236.86212
233.99998,236.68718
233.99998,236.00014
233.0,235.27408
232.0,235.37831
232.0,235.03897
231.99998,235.05054
232.0,234.72672
231.0,234.3631
230.99998,234.2545
231.99998,234.0712
231.0,234.10637
230.99998,233.99673
231.0,233.61388
230.0,233.28622
228.99998,232.89766
228.99998,232.50214
228.0,232.25381
229.99998,231.9906
228.0,231.72282
227.99998,231.47685
227.99998,231.37685
227.0,231.22911
227.0,231.33667
226.0,231.18343
228.0,230.76715
225.99998,230.80501
227.0,230.0524
226.99998,229.7012
240.0,229.39542
228.0,229.63496
