Actual,Predicted
162.0,162.79489
162.99998,160.79413
163.0,159.36018
164.0,158.90173
163.99998,158.89644
164.0,160.1901
164.0,159.36523
164.0,160.14462
166.0,160.16183
185.0,160.48483
167.0,159.16486
167.0,158.04128
167.0,158.47781
166.0,157.94514
165.99998,157.98676
166.0,157.55452
167.0,157.10095
166.99998,157.80693
168.0,157.5678
167.0,157.35245
168.0,157.46912
168.0,158.72241
167.0,160.67172
167.0,161.51636
166.99998,161.9722
167.0,162.19977
165.99998,163.36176
167.0,161.54086
181.0,163.01276
166.0,161.74442
166.0,160.3703
165.0,159.19635
165.0,156.28708
163.99998,155.21686
163.0,153.36185
161.0,151.75735
160.0,149.54926
159.0,148.51279
157.99998,146.17844
156.0,145.1521
155.0,142.39114
152.0,142.26062
150.0,140.03975
149.0,137.97318
150.0,137.52042
147.0,136.71777
146.0,136.31934
158.99998,137.06003
143.0,136.55066
142.0,136.10893
142.0,136.57123
142.0,136.08243
143.0,135.74312
143.0,137.39789
143.0,137.05017
142.99998,137.73395
143.0,136.38846
143.99998,137.45401
144.0,136.53362
143.0,136.13855
146.0,136.36327
142.0,134.694
142.0,135.40984
155.0,135.03572
141.0,135.56581
140.0,134.6269
140.0,135.32568
140.0,134.04475
139.99998,133.64548
139.0,133.60568
139.0,132.81088
140.0,134.31725
139.0,133.79413
140.0,135.78757
140.0,135.49542
141.0,136.62239
142.0,137.32529
142.0,138.03479
142.0,137.42804
142.99998,139.33475
142.0,139.61816
142.99997,142.12787
155.0,143.30115
142.0,143.35162
143.0,142.13887
143.0,143.30707
143.99998,143.01196
144.0,143.05627
144.0,145.0626
143.0,145.525
143.99998,145.41675
143.99998,145.0044
144.0,145.62723
144.99998,145.70973
145.0,146.07458
144.99998,147.10364
146.0,145.87845
146.0,147.78639
149.0,148.36899
147.0,148.44856
148.0,149.6641
161.0,150.27536
148.0,149.79799
148.99998,149.52676
150.0,152.42593
151.0,151.70367
151.0,152.17317
152.0,154.75627
153.0,154.75479
154.0,155.5828
155.0,153.86478
154.99998,155.07996
155.99998,154.49554
155.99998,156.21436
157.0,156.15515
157.99998,156.68927
157.99998,156.43808
161.0,157.98743
158.0,157.49338
157.99998,159.79782
171.0,158.4151
159.0,158.65485
160.0,158.81633
159.99998,159.16203
160.0,159.90042
159.99998,160.7213
160.0,162.45079
160.99998,160.27017
159.99998,161.54045
160.0,161.30313
161.0,161.01178
160.0,161.03477
161.0,161.43222
161.0,162.76624
162.0,161.94833
162.0,162.94026
167.0,163.77905
161.99998,164.13821
163.0,164.08827
176.0,164.93105
163.0,165.22067
164.0,165.33632
165.0,165.78223
166.0,165.91908
166.0,165.298
166.0,167.44911
166.99998,167.54196
168.0,170.04541
167.99998,169.46313
169.0,171.58147
167.99998,171.7092
284.0,174.29028
170.99998,177.03598
170.0,180.85922
169.99998,183.15381
179.0,184.95871
171.0,184.83023
171.0,184.06021
184.0,183.28839
175.0,182.288
173.0,183.03206
174.0,184.99287
174.0,185.62015
174.0,184.9609
173.99998,185.88197
175.0,185.43874
175.0,185.69313
175.0,186.55028
175.0,185.67773
176.0,193.21379
283.0,192.66663
176.99998,192.95892
177.99998,189.79779
178.0,184.66595
186.0,184.56616
180.0,182.3034
187.0,181.99034
198.99998,184.27861
180.99998,182.00056
182.0,184.66194
182.0,186.17892
183.0,185.60397
183.0,188.4556
183.99998,194.01782
182.99998,186.70256
183.0,183.00197
183.0,183.7313
182.99998,178.99078
182.0,174.78825
182.0,175.1471
182.0,176.03003
181.0,179.12302
181.0,178.46753
193.99998,183.21974
180.0,179.08775
180.0,178.75346
189.0,176.59497
179.99998,178.24948
180.0,187.98282
181.0,188.88591
182.99998,186.99911
183.0,189.49716
183.0,184.58722
194.0,180.90828
184.0,174.79742
201.99998,169.51344
186.0,176.73784
185.0,179.57867
185.0,184.2116
185.99998,180.97812
184.0,176.74194
183.0,178.19475
186.0,181.93433
182.0,187.68951
182.0,186.45044
194.99998,183.37277
183.0,186.50156
183.0,190.1601
183.0,190.30487
183.0,186.9383
184.0,179.52383
182.99998,174.6204
183.0,177.15134
183.0,174.5083
183.0,177.04501
183.0,176.14574
182.99998,182.12146
183.0,182.5219
184.99998,180.65137
183.0,180.59525
184.0,186.86484
193.0,188.75604
185.99998,192.54608
188.0,191.36652
197.99998,185.7262
189.0,187.63013
188.99998,188.84457
190.0,187.01373
192.0,184.69531
192.0,185.20502
193.0,186.3815
195.0,187.02698
195.0,191.4863
193.99998,194.3044
196.0,196.28537
194.0,194.61662
193.0,194.5369
194.0,199.42613
191.99998,200.42224
191.99998,200.41739
195.99998,196.62726
192.0,202.24217
284.0,204.03601
203.0,204.89734
197.0,205.24953
196.99998,205.64354
196.0,206.27304
198.0,205.2305
195.99998,206.17265
195.99998,212.48839
197.0,214.12247
196.0,213.36086
197.0,204.93666
198.0,204.91412
196.99998,207.68237
197.0,204.97217
200.0,200.55112
196.0,200.50941
197.0,203.57619
198.0,207.87161
197.0,205.20316
196.0,199.29865
197.0,200.43756
199.0,195.7779
199.0,188.73477
198.0,191.63544
195.99998,192.66447
191.99998,189.72028
193.0,187.41888
192.0,188.78717
192.0,187.26956
193.0,191.00294
193.0,193.64857
192.99998,189.01729
192.99998,190.93799
194.0,195.74556
194.99998,190.73096
195.0,193.44987
197.0,198.58627
196.0,197.67812
196.0,204.69028
206.0,202.57693
197.0,196.67604
198.0,195.9076
198.0,191.63474
199.0,199.71515
200.0,203.59319
201.0,199.08673
200.99998,203.68315
201.0,208.90569
202.0,207.79387
201.99998,205.62268
203.0,206.85512
202.99998,199.08377
203.0,204.64088
202.99998,205.99942
203.0,210.66095
206.0,205.35814
203.0,204.04822
203.0,203.59412
212.0,200.42488
203.0,201.10342
201.99998,200.32031
201.99998,202.57092
203.0,202.61967
203.0,202.16699
202.0,204.12537
201.99998,203.84442
202.0,204.10007
202.0,204.72614
219.0,207.89526
207.99998,203.26495
206.0,208.64015
205.0,210.81334
215.99998,208.08638
210.99998,215.24422
214.0,207.9289
211.0,210.75815
210.0,211.14293
211.99998,203.5094
207.0,198.15121
206.0,201.29875
204.99998,204.9137
205.0,207.5804
207.0,211.48125
208.0,210.74307
210.0,211.43158
209.99998,210.02502
210.0,210.54977
210.99998,210.5922
210.0,209.81982
209.0,208.66266
212.0,214.28519
210.0,208.73343
210.0,211.50548
217.99998,206.8626
212.0,210.58937
210.0,208.75293
219.0,208.15186
211.0,201.75482
210.0,203.57181
210.0,203.20029
210.0,204.54599
209.0,205.622
207.99998,206.11916
210.0,204.48373
209.0,207.94122
209.0,207.04027
210.99998,205.96991
211.0,206.24074
210.0,207.58347
212.0,203.59865
210.0,204.73781
209.99998,203.64319
215.99998,206.85889
210.0,208.80042
209.0,207.17627
219.99998,206.80286
209.0,206.58107
207.0,207.7686
207.0,208.0206
211.0,208.02141
209.99998,208.44705
208.99998,210.63171
209.0,210.45029
203.99998,208.48059
204.0,209.73419
204.0,210.7812
203.0,210.48778
203.0,209.43471
205.0,208.19228
205.0,208.14647
206.0,210.86119
210.0,211.89789
209.0,210.7809
209.0,208.589
211.0,209.52803
209.0,207.23941
210.0,210.26904
211.0,211.21634
211.0,209.42183
211.0,211.20596
212.0,212.87637
214.0,214.09756
214.0,212.8667
214.0,213.76266
214.0,213.15158
213.0,214.80196
212.99998,216.43831
215.0,215.26538
212.99998,215.32811
211.99998,215.40604
220.0,215.06328
211.0,213.79109
210.0,212.89072
221.0,212.71321
211.99998,210.42924
211.99998,210.5655
212.0,212.83575
212.0,213.25809
211.99998,214.8251
214.0,214.95555
216.0,213.64418
219.0,213.18175
220.0,214.07355
219.99998,214.62843
219.0,216.49294
218.0,220.10445
217.99998,217.45311
216.99998,216.68861
217.0,217.15605
215.0,215.30487
213.0,214.83151
213.0,215.13463
214.0,215.0384
216.0,216.25124
218.0,217.56216
216.99998,213.79402
218.99998,214.19449
218.0,218.68695
215.0,218.15077
216.0,216.85664
216.0,218.12228
217.0,218.64514
218.99998,223.65158
225.99998,223.21574
229.99998,224.56137
231.0,226.42447
234.0,230.18405
236.0,232.31628
250.99998,233.35207
244.99998,235.79742
219.8,236.16502
256.0,238.30873
254.99998,240.3647
256.0,240.21371
255.0,240.21164
259.0,239.55144
249.0,239.78069
243.0,239.97954
231.0,239.44695
226.0,239.32788
224.99998,240.29318
230.0,240.32124
231.99998,240.44339
232.0,239.7725
232.0,239.30008
228.99998,238.6483
228.0,238.33041
239.0,237.91234
235.0,237.1559
238.0,237.26306
249.0,239.21176
238.0,239.53046
236.99998,239.74713
237.99998,240.28357
238.0,237.052
236.99998,235.86534
261.0,233.68082
238.0,235.00777
238.0,237.94708
237.99998,239.85056
240.0,239.05168
238.0,240.10959
238.0,235.74324
237.99998,236.28972
237.0,236.5447
236.0,237.88579
239.99998,234.64462
238.0,234.71875
236.0,235.8763
242.0,235.4308
235.99998,235.73071
235.99998,235.6236
236.0,234.11862
235.0,231.17455
234.0,231.84341
234.0,232.77122
234.99998,236.10797
233.99998,235.7195
234.0,235.9355
234.0,236.4215
235.0,236.44667
234.99998,235.75291
235.0,236.28485
235.99998,234.15135
235.99998,232.1281
238.0,233.18907
234.0,233.70396
236.0,232.81522
239.99998,234.50656
236.0,234.48495
237.0,232.97772
237.0,234.08218
236.0,234.9806
237.0,235.65894
236.99998,238.28456
238.0,239.81743
239.0,240.4366
239.99998,241.32765
241.99998,242.20224
241.99998,243.09116
242.99998,244.14696
245.0,244.88156
246.0,245.82394
247.0,247.49794
253.99998,248.46713
250.0,247.42285
250.0,248.23175
252.0,248.92879
260.0,249.819
252.0,250.1803
252.0,252.04643
252.0,250.71509
252.0,253.30742
252.0,254.3412
253.0,253.1799
253.0,254.16875
252.99998,253.64859
252.0,255.2821
252.0,254.39783
254.0,255.1793
253.99998,255.5691
256.0,255.5705
256.0,256.82037
256.0,257.72287
256.0,256.82693
258.0,256.4635
257.0,257.37604
257.0,256.85645
258.0,257.1509
263.0,256.7049
257.0,257.14215
259.0,259.1292
259.0,259.68457
267.0,258.742
260.0,258.4485
260.0,257.92206
260.0,257.97778
260.0,257.16632
260.0,258.18988
260.0,259.52835
259.0,259.5326
259.0,260.82303
259.0,260.8931
259.0,261.34445
258.0,261.52097
258.0,262.84045
260.0,261.8772
260.0,261.3961
261.0,262.06085
263.0,262.6673
265.0,262.12863
265.0,262.96112
266.0,264.2644
267.0,264.52612
272.0,265.40955
268.0,264.84027
269.0,264.15213
269.0,263.93317
271.0,266.00058
269.0,266.96002
269.0,267.94937
267.0,268.4284
265.0,265.62372
265.0,263.41064
263.0,263.37112
262.0,262.8454
260.0,263.31506
259.0,263.7718
258.0,263.29266
258.0,260.91443
258.0,260.42334
260.0,260.5719
261.0,260.60168
262.0,260.85303
264.0,260.95114
264.0,261.89404
265.0,261.7399
265.0,261.8266
266.0,262.1403
267.0,262.4153
266.0,262.73773
265.0,262.66302
264.0,263.0251
265.0,262.69302
261.0,265.34158
259.0,264.2052
258.0,264.76593
257.0,262.96692
257.0,262.6373
256.0,260.0795
255.0,259.1708
255.0,257.3119
256.0,256.49808
256.0,256.6583
257.0,254.98816
257.0,253.82433
258.0,253.00314
257.0,252.78568
257.0,253.0845
257.0,254.0062
256.0,255.17007
255.0,255.06952
253.99998,255.69766
253.0,254.8786
255.0,255.01239
249.0,254.38255
247.0,252.92201
245.0,250.50351
251.99998,248.94249
240.99998,249.65314
240.0,247.43117
238.0,246.41415
238.0,244.33038
237.99998,244.28877
238.0,242.07419
239.0,241.83105
239.99998,241.06992
239.99998,240.50714
240.99998,240.87964
241.0,239.97623
241.99998,239.61816
242.0,239.65053
242.0,239.7351
242.0,239.72926
241.99998,240.93549
242.0,240.18643
241.99998,240.54103
241.0,240.06781
241.0,240.38695
243.99998,239.44348
239.0,239.81676
239.0,239.96872
238.0,238.89088
247.0,238.67865
236.0,238.27194
236.0,239.18698
236.0,238.65019
236.0,238.14107
236.99998,237.98155
237.0,238.89821
238.0,239.52768
238.0,240.02151
239.0,240.48138
240.0,240.05144
239.99998,240.80305
240.0,239.43507
241.0,240.75696
241.0,239.95378
240.99998,240.23431
241.99998,240.90509
242.0,240.88684
242.0,241.08643
241.99998,241.05582
241.0,241.70622
239.99998,241.64862
239.0,242.02795
239.0,242.0697
238.99998,241.96431
240.0,241.242
240.0,241.21017
241.0,241.40048
242.0,240.0396
242.0,239.88683
242.0,238.85971
242.0,238.54192
242.0,238.07584
240.99998,237.60439
241.0,237.66286
241.0,237.77686
240.99998,238.09784
241.0,236.94174
241.0,237.95436
240.99998,237.54324
241.0,238.13277
239.99998,237.23947
239.0,237.83875
237.99998,237.94525
240.99998,237.37466
237.0,237.43295
236.99998,236.8942
237.0,237.00374
245.0,236.23497
235.99998,235.54657
235.99998,235.01517
235.0,234.33858
233.99998,233.96606
233.99998,233.08617
233.0,233.02304
232.0,232.78716
232.0,232.44933
231.99998,232.04642
232.0,232.16115
231.0,231.51767
230.99998,231.53506
231.99998,231.78575
231.0,231.20668
230.99998,231.10376
231.0,230.63559
230.0,230.5912
228.99998,230.3622
228.99998,230.35133
228.0,229.88188
229.99998,229.56267
228.0,229.12337
227.99998,228.4538
227.99998,228.14206
227.0,227.55403
227.0,228.667
226.0,227.43971
228.0,228.6058
225.99998,227.84479
227.0,227.46571
226.99998,226.90126
240.0,227.07211
228.0,227.47716
228.0,226.87773
228.0,228.10397
228.0,228.11258
226.99998,228.22531
226.0,227.13985
226.0,227.51877
225.0,226.97041
224.99998,226.9376
224.0,226.37018
223.99998,226.23991
223.0,227.2008
221.99998,227.14716
220.99998,226.3776
222.0,226.47504
222.0,226.69205
222.99998,226.2228
224.0,226.66103
223.99998,226.17036
225.0,226.93787
226.0,226.38048
226.0,227.02393
227.99998,227.51219
228.0,227.59726
241.99998,228.71739
231.0,228.66585
232.0,230.20695
233.0,231.055
234.0,230.93492
244.99998,231.95297
234.99998,232.96352
234.99998,233.46779
236.0,234.34714
235.99998,235.09233
235.99998,235.743
235.99998,236.85396
237.0,237.49828
237.0,238.36076
247.99998,237.90895
239.0,238.04987
238.99998,238.79034
239.0,238.82982
239.99998,240.04639
239.99998,240.86473
240.0,242.0285
240.0,243.2162
241.0,243.03743
254.0,242.6309
242.0,242.9273
242.99998,243.76233
244.0,244.5112
243.99998,244.98277
245.0,245.08847
245.99998,246.42928
246.0,246.92946
245.99998,247.26552
247.0,249.12288
247.0,248.80981
259.0,250.06253
248.0,250.21558
247.0,250.73895
261.0,250.83598
259.0,251.70377
249.0,252.24724
250.0,252.20197
250.0,252.14476
251.0,252.16968
252.0,252.81828
251.99998,252.1916
253.0,252.5242
253.99998,252.0347
264.0,254.12871
256.0,254.00548
261.0,254.2439
257.99997,255.83768
259.0,256.41992
260.0,256.3876
261.0,256.9604
262.0,256.54282
262.0,257.74194
263.0,257.26288
262.0,257.09894
262.0,257.69983
261.0,258.42932
271.0,258.44614
260.0,258.39163
265.0,258.62186
260.0,258.0734
260.0,257.65292
258.99997,255.9071
258.0,256.86023
257.0,255.81113
256.0,255.97418
254.99998,254.66632
253.99998,254.60663
253.99998,254.1196
253.0,252.09247
261.0,252.2853
250.99998,251.0937
256.0,250.14108
250.99998,249.52948
250.0,249.44139
250.0,247.75015
249.99998,247.25873
250.0,245.90297
250.0,245.69174
248.99998,244.40591
249.0,244.25108
248.99998,244.26138
250.0,244.07932
260.0,244.8374
248.99998,243.96255
254.0,244.87904
250.0,244.1429
250.99998,244.47876
251.0,246.04855
251.99998,247.72855
253.0,247.9854
253.0,248.55112
253.0,248.63887
254.0,248.15529
254.99998,249.04106
254.99998,249.72498
266.0,250.69377
254.0,251.98755
256.0,252.2479
254.0,252.34103
256.0,252.94496
260.0,254.14996
262.0,255.01999
266.0,255.19745
265.0,255.94225
266.0,256.31042
263.0,256.73486
261.0,257.7738
259.0,257.87564
260.0,259.0378
257.0,258.2075
258.0,258.70938
257.0,257.88928
257.0,256.53906
256.0,255.89832
256.0,256.29645
239.79999,255.07112
254.99998,254.49188
255.0,253.91837
253.99998,253.74391
254.0,253.9927
254.0,253.40997
267.0,254.34747
255.0,253.34796
249.2,252.6472
254.0,252.65953
263.0,251.65009
254.0,252.47377
254.0,253.6296
253.0,253.97746
253.0,254.2444
252.00002,253.50415
252.0,253.75615
252.0,253.9475
252.0,253.3107
262.0,254.4543
251.0,253.74605
252.99998,255.00983
252.0,256.05197
252.99998,257.81442
254.99998,258.3407
259.0,258.5712
264.0,259.34924
269.0,260.59296
274.0,261.49326
277.0,262.76935
280.0,265.2405
280.0,267.30597
290.0,270.37683
280.0,269.2341
282.0,270.44183
278.0,268.26608
276.0,270.22906
275.0,271.27728
274.0,273.8681
273.0,274.0627
272.0,275.4759
271.0,274.72217
271.0,275.3899
271.0,277.9718
271.0,279.10382
280.0,282.12784
271.0,283.87036
275.0,285.39066
274.0,286.60992
284.0,290.05606
286.0,290.72064
296.0,293.20413
300.0,298.367
304.0,300.78946
308.0,302.92828
312.0,309.12402
318.0,315.80612
321.0,318.8612
332.0,322.6875
324.0,322.07153
327.0,323.351
327.0,324.12183
328.0,328.42
328.0,331.29242
328.0,334.93793
329.0,335.48474
330.0,336.91714
330.0,337.7055
332.0,340.54803
334.0,343.78943
337.0,345.1237
348.0,345.68665
343.0,344.70502
348.0,346.8048
348.0,347.04855
351.0,348.60516
354.0,352.04636
356.0,355.16772
358.0,358.4137
360.0,363.06726
361.0,364.01672
361.0,367.5586
359.0,367.61115
358.0,367.42477
359.0,365.00635
356.0,361.57388
354.0,361.82016
353.0,362.11975
354.0,360.17145
352.0,358.09564
351.0,356.0857
351.0,355.27878
351.0,355.52255
352.0,352.71417
353.0,353.19943
353.0,350.9879
354.0,349.11133
353.0,349.71014
353.0,347.54742
352.0,347.76218
352.0,345.97156
352.0,347.37976
352.0,347.80017
352.0,349.63263
352.0,350.00183
351.0,351.19635
351.0,349.36465
350.0,350.39377
349.0,349.12256
352.0,348.28928
347.0,348.34882
347.0,345.1724
346.0,345.23837
348.0,342.91962
346.0,344.83795
346.0,344.29456
345.0,343.303
345.0,340.60956
344.0,340.35855
344.0,340.14752
344.0,341.5736
346.0,342.21136
348.0,342.18338
353.0,343.9053
360.0,343.5549
363.0,345.58795
362.0,346.3319
363.0,347.8317
362.0,349.3079
