Actual,Predicted
162.0,171.52979
162.99998,170.0993
163.0,167.87921
164.0,167.16364
163.99998,164.08018
164.0,164.48082
164.0,162.37556
164.0,161.50333
166.0,159.88924
185.0,159.64218
167.0,157.12302
167.0,155.69109
167.0,156.06232
166.0,155.57318
165.99998,155.05994
166.0,156.0808
167.0,156.92691
166.99998,157.01929
168.0,156.78233
167.0,155.67862
168.0,155.92532
168.0,156.0659
167.0,156.54977
167.0,155.6282
166.99998,155.50339
167.0,155.15085
165.99998,156.5542
167.0,154.93579
181.0,156.11539
166.0,154.61987
166.0,155.11209
165.0,155.43
165.0,154.91339
163.99998,154.63843
163.0,154.40765
161.0,153.73727
160.0,153.34204
159.0,152.72562
157.99998,151.69525
156.0,151.4014
155.0,149.11565
152.0,150.09624
150.0,148.36746
149.0,148.24194
150.0,148.52075
147.0,147.72821
146.0,144.99496
158.99998,146.33406
143.0,143.51901
142.0,143.49033
142.0,144.86484
142.0,143.82097
143.0,143.08948
143.0,143.42368
143.0,144.25403
142.99998,145.01578
143.0,143.78918
143.99998,144.29529
144.0,143.17763
143.0,143.7041
146.0,144.19574
142.0,143.27649
142.0,142.92181
155.0,140.92972
141.0,139.25684
140.0,137.55167
140.0,138.53603
140.0,137.20914
139.99998,139.48355
139.0,139.91031
139.0,140.00891
140.0,140.5895
139.0,140.79791
140.0,142.2207
140.0,141.42267
141.0,141.50928
142.0,140.69826
142.0,140.5803
142.0,140.37225
142.99998,142.48834
142.0,142.91594
142.99997,144.92671
155.0,144.98215
142.0,145.25421
143.0,144.09177
143.0,145.14731
143.99998,143.83676
144.0,143.67485
144.0,146.28308
143.0,146.52652
143.99998,146.71414
143.99998,146.7744
144.0,146.45245
144.99998,147.47365
145.0,147.17818
144.99998,148.54861
146.0,149.12306
146.0,150.43228
149.0,151.64136
147.0,151.20288
148.0,151.51949
161.0,151.1322
148.0,150.48514
148.99998,150.61438
150.0,152.49854
151.0,151.27817
151.0,151.57184
152.0,152.81989
153.0,152.7044
154.0,153.60226
155.0,152.68823
154.99998,153.78732
155.99998,153.48915
155.99998,154.97607
157.0,156.59558
157.99998,157.66205
157.99998,157.6297
161.0,159.92538
158.0,160.02039
157.99998,161.42294
171.0,161.06024
159.0,161.6669
160.0,162.07166
159.99998,162.7007
160.0,161.74014
159.99998,162.92993
160.0,164.79315
160.99998,164.11237
159.99998,164.67221
160.0,164.64212
161.0,165.173
160.0,165.80618
161.0,165.68112
161.0,167.13348
162.0,166.02794
162.0,166.35686
167.0,166.91618
161.99998,167.2681
163.0,167.43246
176.0,167.90677
163.0,167.68669
164.0,166.92334
165.0,169.22165
166.0,167.9241
166.0,167.59772
166.0,169.90424
166.99998,169.54448
168.0,170.94946
167.99998,169.79852
169.0,171.47675
167.99998,171.65584
284.0,173.3223
170.99998,175.8536
170.0,178.90486
169.99998,180.89096
179.0,182.7634
171.0,182.89114
171.0,182.20593
184.0,182.22636
175.0,184.40012
173.0,185.5581
174.0,185.8055
174.0,182.30835
174.0,181.35995
173.99998,182.91759
175.0,182.79225
175.0,184.21967
175.0,182.96194
175.0,181.5781
176.0,182.51038
283.0,184.31744
176.99998,189.10217
177.99998,188.14111
178.0,180.93959
186.0,184.36339
180.0,170.29378
187.0,189.4094
198.99998,185.99115
180.99998,192.54999
182.0,203.49673
182.0,195.8651
183.0,201.37234
183.0,194.4986
183.99998,197.48404
182.99998,195.3359
183.0,187.56702
183.0,190.1572
182.99998,195.83356
182.0,197.04187
182.0,194.7015
182.0,189.62737
181.0,184.49231
181.0,179.64847
193.99998,180.17358
180.0,182.82927
180.0,182.05835
189.0,189.49524
179.99998,194.96024
180.0,183.10535
181.0,188.02725
182.99998,177.95482
183.0,181.55472
183.0,188.04163
194.0,185.9832
184.0,185.00063
201.99998,185.16483
186.0,184.70786
185.0,186.93073
185.0,190.98492
185.99998,184.08978
184.0,182.73958
183.0,184.51285
186.0,189.17822
182.0,189.95149
182.0,190.77876
194.99998,191.59238
183.0,184.64401
183.0,185.73827
183.0,185.41798
183.0,180.99811
184.0,179.94986
182.99998,187.11473
183.0,185.66873
183.0,186.71008
183.0,185.36276
183.0,180.26169
182.99998,178.7856
183.0,186.00372
184.99998,186.48921
183.0,184.90521
184.0,187.4082
193.0,186.26834
185.99998,188.4788
188.0,192.89622
197.99998,188.6529
189.0,187.76234
188.99998,186.4371
190.0,191.37991
192.0,190.24689
192.0,190.26605
193.0,196.70523
195.0,191.71735
195.0,191.24008
193.99998,198.307
196.0,196.67001
194.0,196.38647
193.0,198.42204
194.0,201.5136
191.99998,202.59329
191.99998,203.31735
195.99998,201.69058
192.0,205.31819
284.0,205.88158
203.0,205.4209
197.0,209.02066
196.99998,206.32509
196.0,207.8437
198.0,207.47234
195.99998,210.02727
195.99998,217.56973
197.0,211.5849
196.0,214.48875
197.0,212.35788
198.0,213.55508
196.99998,211.73053
197.0,212.60844
200.0,213.1522
196.0,208.32545
197.0,210.16931
198.0,205.56007
197.0,204.5833
196.0,203.36322
197.0,198.55914
199.0,201.95715
199.0,201.28804
198.0,196.10945
195.99998,189.90175
191.99998,190.98914
193.0,196.99576
192.0,203.22331
192.0,198.22562
193.0,193.82271
193.0,199.5425
192.99998,201.4976
192.99998,204.27939
194.0,205.927
194.99998,201.17856
195.0,202.28175
197.0,203.18898
196.0,203.47348
196.0,205.50826
206.0,198.92963
197.0,201.08734
198.0,197.7953
198.0,198.62263
199.0,196.15091
200.0,193.08746
201.0,194.1448
200.99998,195.61116
201.0,196.74141
202.0,195.80531
201.99998,193.81998
203.0,203.0032
202.99998,206.74434
203.0,205.1479
202.99998,206.39156
203.0,203.08003
206.0,202.67058
203.0,199.16685
203.0,206.08783
212.0,198.68126
203.0,200.19896
201.99998,200.58893
201.99998,206.89543
203.0,206.42813
203.0,201.13834
202.0,206.92001
201.99998,205.51892
202.0,204.56367
202.0,206.9995
219.0,206.55998
207.99998,204.96693
206.0,208.4036
205.0,207.36874
215.99998,210.89326
210.99998,210.83046
214.0,208.59978
211.0,210.6778
210.0,207.60652
211.99998,210.48918
207.0,211.91315
206.0,205.99557
204.99998,211.08698
205.0,214.63904
207.0,211.09967
208.0,210.71384
210.0,212.22035
209.99998,210.94662
210.0,210.42793
210.99998,211.86118
210.0,210.82768
209.0,213.9547
212.0,206.38016
210.0,211.24933
210.0,210.70459
217.99998,209.67923
212.0,210.98552
210.0,211.79756
219.0,210.89479
211.0,209.34827
210.0,208.00325
210.0,210.92455
210.0,208.01271
209.0,207.69125
207.99998,206.19815
210.0,210.24065
209.0,209.20297
209.0,206.57294
210.99998,206.99626
211.0,206.45993
210.0,210.64565
212.0,207.67548
210.0,206.21881
209.99998,206.02081
215.99998,209.06093
210.0,209.4126
209.0,208.66844
219.99998,208.58823
209.0,209.05215
207.0,211.34442
207.0,212.18161
211.0,209.8033
209.99998,208.8939
208.99998,208.64622
209.0,210.15703
203.99998,208.39728
204.0,209.52145
204.0,211.14224
203.0,210.8486
203.0,210.53065
205.0,211.87129
205.0,210.52043
206.0,210.97845
210.0,211.03136
209.0,211.16835
209.0,212.70366
211.0,212.80507
209.0,211.1684
210.0,211.71999
211.0,212.03241
211.0,213.02255
211.0,213.95306
212.0,214.81593
214.0,215.80745
214.0,213.62639
214.0,216.45694
214.0,215.0979
213.0,215.8011
212.99998,215.12961
215.0,217.56754
212.99998,215.30849
211.99998,218.91689
220.0,215.74783
211.0,218.2554
210.0,216.27406
221.0,218.12007
211.99998,216.95354
211.99998,217.70476
212.0,218.77571
212.0,218.10208
211.99998,217.00967
214.0,220.8333
216.0,219.06453
219.0,218.18466
220.0,219.95778
219.99998,219.2392
219.0,219.7876
218.0,220.88771
217.99998,219.18668
216.99998,221.21416
217.0,218.71909
215.0,220.95891
213.0,220.13174
213.0,220.04861
214.0,221.38898
216.0,220.61618
218.0,220.4145
216.99998,218.32735
218.99998,220.26505
218.0,221.04387
215.0,221.18265
216.0,221.11108
216.0,221.9759
217.0,225.96222
218.99998,225.87086
225.99998,226.57701
229.99998,226.40439
231.0,228.70679
234.0,230.41899
236.0,231.53033
250.99998,234.38945
244.99998,237.38397
219.8,238.02704
256.0,241.11873
254.99998,240.2362
256.0,242.22682
255.0,243.35446
259.0,243.13647
249.0,242.64093
243.0,242.46425
231.0,243.3302
226.0,244.72105
224.99998,245.10114
230.0,245.20142
231.99998,244.16986
232.0,242.33588
232.0,243.45729
228.99998,242.9989
228.0,243.22647
239.0,243.74907
235.0,243.62286
238.0,243.4293
249.0,244.86916
238.0,245.20825
236.99998,245.57727
237.99998,247.52043
238.0,247.57611
236.99998,248.32497
261.0,245.2133
238.0,245.31894
238.0,247.18341
237.99998,250.04375
240.0,250.16653
238.0,251.01648
238.0,250.32202
237.99998,249.20694
237.0,244.29335
236.0,241.78026
239.99998,239.49065
238.0,238.7576
