Actual,Predicted
11.6,11.655103
11.6,11.633257
11.6,11.65028
11.6,11.628528
11.6,11.64091
11.6,11.651369
11.6,11.655825
11.7,11.703635
11.7,11.7192545
11.7,11.725109
11.7,11.737867
11.7,11.744057
11.7,11.733574
11.7,11.75322
11.7,11.722386
11.7,11.747211
11.7,11.741974
11.7,11.761784
11.7,11.78099
11.8,11.797773
11.8,11.867508
11.8,11.904023
11.8,11.886681
11.8,11.918138
11.8,11.886989
11.8,11.886811
11.8,11.872282
11.8,11.8649
11.8,11.854243
11.8,11.845178
11.7,11.799195
11.7,11.745752
11.7,11.70232
11.7,11.720912
11.6,11.712042
11.6,11.6582155
11.6,11.628345
11.6,11.620799
11.6,11.592834
11.6,11.639704
11.6,11.60508
11.6,11.610544
11.6,11.6035385
11.6,11.623236
11.6,11.590302
11.6,11.600855
11.5,11.556377
11.5,11.513161
11.5,11.508918
11.5,11.525497
11.5,11.501219
11.5,11.521552
11.5,11.517113
11.5,11.5225935
11.5,11.505764
11.5,11.516869
11.5,11.50659
11.5,11.50997
11.5,11.480215
11.5,11.503541
11.5,11.501507
11.5,11.532354
11.5,11.521353
11.5,11.53807
11.5,11.535495
11.6,11.560039
11.6,11.604516
11.6,11.612938
11.6,11.591106
11.6,11.626117
11.6,11.614117
11.6,11.592535
11.6,11.623113
11.6,11.626551
11.6,11.611599
11.6,11.644663
11.6,11.613655
11.6,11.62944
11.6,11.659558
11.6,11.646471
11.6,11.662046
11.7,11.6987505
11.7,11.764208
11.7,11.759578
11.7,11.77582
11.7,11.798459
11.7,11.778106
11.7,11.801565
11.7,11.806358
11.7,11.776335
11.7,11.815936
11.7,11.836537
11.7,11.787119
11.7,11.823399
11.7,11.830976
11.7,11.830854
11.7,11.857095
11.8,11.894622
11.8,11.916985
11.8,11.923255
11.8,11.94701
11.8,11.922615
11.8,11.945445
11.8,11.948603
11.8,11.923962
11.8,11.933546
11.8,11.945338
11.8,11.963163
11.8,11.982023
11.8,11.9789095
11.8,11.993935
11.9,12.033339
11.9,12.062364
11.9,12.094164
11.9,12.102316
11.9,12.117411
11.9,12.142807
11.9,12.1407585
11.9,12.175001
12.0,12.203271
12.0,12.229779
12.0,12.256922
12.0,12.223722
12.0,12.23837
12.0,12.244636
12.0,12.279408
12.0,12.288928
12.099999,12.3137
12.099999,12.358713
12.099999,12.393441
12.099999,12.384723
12.099999,12.393754
12.2,12.405873
12.2,12.436969
12.2,12.428017
12.2,12.433086
12.2,12.438101
12.2,12.45543
12.2,12.446862
12.2,12.449661
12.2,12.428217
12.2,12.43544
12.2,12.422779
12.2,12.421888
12.2,12.442497
12.2,12.42761
12.299999,12.451149
12.299999,12.490541
12.299999,12.494932
12.299999,12.519722
12.299999,12.5098
12.299999,12.519997
12.299999,12.535121
12.299999,12.513919
12.299999,12.499941
12.299999,12.503214
12.299999,12.526594
12.299999,12.535611
12.299999,12.543484
12.4,12.561563
12.4,12.637218
12.4,12.625583
12.4,12.633478
12.4,12.626574
12.4,12.629429
12.4,12.6495495
12.4,12.639971
12.5,12.646776
12.5,12.726927
12.5,12.7225065
12.5,12.707498
12.5,12.705193
12.5,12.714601
12.5,12.726132
12.5,12.735754
12.6,12.752142
12.6,12.799216
12.6,12.809525
12.6,12.829203
12.6,12.827398
12.6,12.829374
12.6,12.8183
12.6,12.800909
12.6,12.797973
12.6,12.799344
12.6,12.786642
12.6,12.810369
12.6,12.840029
12.6,12.843203
12.7,12.872463
12.7,12.925605
12.7,12.922834
12.7,12.923357
12.7,12.8998375
12.7,12.893113
12.7,12.900994
12.7,12.922638
12.7,12.897976
12.7,12.917464
12.7,12.934093
12.7,12.944334
12.7,12.938587
12.799999,12.9671135
12.799999,13.021093
12.799999,13.014675
12.799999,13.022681
12.799999,13.006935
12.799999,13.001617
12.799999,12.997445
12.799999,12.987057
12.799999,12.997352
12.799999,13.010942
12.799999,13.0293255
12.799999,13.025892
12.9,13.059878
12.9,13.112903
12.9,13.114136
12.9,13.145809
12.9,13.126156
12.9,13.125017
12.9,13.0998955
12.799999,13.085066
12.799999,13.030869
12.9,13.025835
12.799999,13.0752535
12.9,13.04668
12.9,13.126463
12.9,13.139592
12.9,13.133769
12.9,13.123207
12.9,13.13837
12.9,13.128409
12.9,13.126457
12.9,13.118614
12.9,13.119476
12.9,13.129303
12.9,13.111241
12.9,13.123384
12.9,13.120654
12.9,13.125255
12.9,13.131839
12.9,13.093189
12.9,13.142843
12.9,13.12389
12.9,13.148727
12.9,13.152851
13.0,13.188807
13.0,13.248756
13.0,13.248791
13.0,13.232124
13.0,13.240717
13.0,13.2467375
13.0,13.265087
13.0,13.254091
13.0,13.246605
13.0,13.287193
13.0,13.284647
13.0,13.287313
13.0,13.316782
13.0,13.2824135
13.0,13.286123
13.0,13.233164
12.9,13.193138
12.9,13.160696
12.9,13.14332
12.9,13.151255
12.9,13.168888
12.9,13.160972
12.9,13.147492
12.9,13.124937
12.799999,13.108957
12.799999,13.041537
12.799999,13.044947
12.799999,13.038727
12.799999,13.022039
12.799999,13.00544
12.799999,13.001983
12.799999,12.999913
12.799999,13.011801
12.7,12.98086
12.7,12.920465
12.7,12.911526
12.6,12.882657
12.6,12.835205
12.6,12.813643
12.6,12.815096
12.6,12.829257
12.6,12.843134
12.6,12.8396635
12.6,12.837233
12.6,12.849489
12.6,12.857767
12.6,12.840643
12.6,12.862752
12.6,12.873013
12.6,12.883398
12.6,12.8964405
12.7,12.90999
12.7,12.953122
12.7,12.95529
12.7,12.949316
12.7,12.955656
12.7,12.929231
12.7,12.942488
12.7,12.962053
12.799999,12.981701
12.799999,13.046694
12.799999,13.060119
12.799999,13.069166
12.799999,13.07588
12.799999,13.087782
12.9,13.103355
12.9,13.143843
12.9,13.162916
12.9,13.180408
12.9,13.192865
13.0,13.204278
13.0,13.269474
13.0,13.251909
13.0,13.268326
13.0,13.275608
13.0,13.268592
13.0,13.272997
13.0,13.282479
13.0,13.270971
13.0,13.300311
13.099999,13.319855
13.099999,13.373007
13.099999,13.389156
13.099999,13.404644
13.099999,13.395917
13.099999,13.416037
13.2,13.412794
13.2,13.48901
13.2,13.497229
13.2,13.519348
13.2,13.531925
13.2,13.544292
13.299999,13.562877
13.299999,13.596294
13.299999,13.624968
13.299999,13.629988
13.299999,13.652716
13.4,13.684973
13.4,13.758358
13.4,13.752867
13.4,13.77491
13.4,13.777789
13.4,13.779781
13.4,13.772193
13.4,13.78441
13.4,13.786772
13.5,13.816221
13.5,13.872251
13.5,13.868186
13.5,13.864909
13.5,13.893036
13.5,13.854284
13.5,13.854238
13.5,13.862181
13.5,13.8688755
13.6,13.916357
13.6,13.954582
13.6,13.958408
13.6,13.992182
13.6,13.998587
13.6,13.988874
13.6,13.990997
13.6,13.976789
13.6,13.972261
13.6,13.965319
13.6,13.966326
13.6,13.976985
13.6,13.9981985
13.6,14.015738
13.6,14.027692
13.7,14.04476
13.7,14.06652
13.7,14.095566
13.7,14.090771
13.7,14.101527
13.7,14.107295
13.7,14.093117
13.7,14.088579
13.7,14.126637
13.7,14.105513
13.7,14.120947
13.7,14.126146
13.7,14.131035
13.799999,14.151047
13.799999,14.207066
13.799999,14.200653
13.799999,14.213605
13.799999,14.222935
13.799999,14.220579
13.799999,14.188202
13.799999,14.201324
13.799999,14.180631
13.7,14.157917
13.7,14.100405
13.7,14.07659
13.7,14.092983
13.7,14.099769
13.7,14.089721
13.7,14.085585
13.7,14.099283
13.7,14.087391
13.7,14.068302
13.7,14.0673275
13.7,14.056759
13.7,14.045699
13.7,14.081664
13.799999,14.0768175
13.799999,14.134688
13.799999,14.154997
13.799999,14.130707
13.799999,14.107265
13.7,14.097178
13.7,14.017933
13.7,14.01633
13.7,14.022569
13.7,14.007256
13.7,14.018818
13.7,14.012122
13.7,14.030042
13.7,14.04617
13.7,14.03787
13.7,14.00902
13.7,14.010403
13.7,14.034533
13.7,14.045038
13.7,14.046354
13.7,14.06591
13.7,14.030045
13.7,14.0230465
13.7,14.038092
13.7,14.040423
13.799999,14.051956
13.799999,14.116217
13.799999,14.10979
13.799999,14.103479
13.799999,14.126318
13.799999,14.122259
13.799999,14.100412
13.799999,14.136743
13.799999,14.112719
13.799999,14.090925
13.799999,14.102827
13.7,14.044947
13.7,13.995138
13.7,13.998623
13.7,13.986237
13.7,13.998541
13.7,14.016012
13.7,13.999304
13.799999,14.007908
13.799999,14.081583
13.799999,14.093916
13.799999,14.117905
13.799999,14.140614
13.799999,14.123732
13.9,14.121297
13.799999,14.165912
13.799999,14.112553
13.799999,14.124976
13.799999,14.155478
13.799999,14.149254
13.9,14.175535
13.9,14.246332
13.9,14.243884
13.9,14.256536
13.9,14.267117
