Actual,Predicted
166.0,165.49591
166.0,157.15683
166.0,155.78563
167.0,154.89381
168.0,157.76921
168.0,165.95299
169.0,173.43307
168.0,197.68483
284.0,256.1619
171.0,192.39178
170.0,180.81984
170.0,198.93114
179.0,189.75414
171.0,187.41322
171.0,204.73698
184.0,195.3466
175.0,142.61089
173.0,175.2623
174.0,199.42438
174.0,194.10892
174.0,189.21231
174.0,183.76324
175.0,160.63324
175.0,161.58282
175.0,186.02794
175.0,188.2651
176.0,208.96143
283.0,260.2445
177.0,198.47044
178.0,170.2838
178.0,211.03085
186.0,213.94951
180.0,204.71655
187.0,211.2287
199.0,200.22334
181.0,179.25781
182.0,184.71161
182.0,185.87175
183.0,190.43408
183.0,184.92651
184.0,204.83139
183.0,193.5515
183.0,194.46162
183.0,204.51045
183.0,203.2347
182.0,202.11934
182.0,189.78798
182.0,182.56032
181.0,176.09613
181.0,190.02847
194.0,186.69104
180.0,187.21263
180.0,198.92976
189.0,180.73106
180.0,185.97018
180.0,196.08505
181.0,183.09047
183.0,195.50533
183.0,187.27632
183.0,193.96426
194.0,194.03398
184.0,186.4257
202.0,198.59863
186.0,193.62051
185.0,184.24373
185.0,187.01208
186.0,189.14732
184.0,182.8886
183.0,189.36938
186.0,182.54056
182.0,178.10155
182.0,188.87852
195.0,198.55243
183.0,187.6154
183.0,194.21089
183.0,182.67538
183.0,183.01508
184.0,187.85745
183.0,194.31216
183.0,187.46437
183.0,188.16478
183.0,179.16992
183.0,179.7007
183.0,181.25146
183.0,188.64023
185.0,187.5127
183.0,189.15169
184.0,200.34795
193.0,198.68945
186.0,196.95522
188.0,205.71571
198.0,208.42743
189.0,195.70834
189.0,189.24704
190.0,183.95251
192.0,185.25359
192.0,192.27771
193.0,202.75887
195.0,196.46219
195.0,189.90642
194.0,188.64116
196.0,211.34073
194.0,212.54872
193.0,208.19736
194.0,190.01448
192.0,183.37733
192.0,182.72792
196.0,181.29372
192.0,215.76398
284.0,274.4795
203.0,218.51015
197.0,217.99129
197.0,212.62668
196.0,203.95427
198.0,202.2854
196.0,199.54622
196.0,204.38036
197.0,203.03885
196.0,210.83495
197.0,204.6101
198.0,208.90222
197.0,202.28044
197.0,201.00623
200.0,201.85172
196.0,204.85129
197.0,207.25969
198.0,206.7112
197.0,206.19621
196.0,204.63786
197.0,192.97198
199.0,198.62389
199.0,203.05309
198.0,208.02983
196.0,198.09637
192.0,201.13884
193.0,187.14842
192.0,190.71112
192.0,183.13756
193.0,205.7939
193.0,197.64835
193.0,201.15823
193.0,196.31067
194.0,209.46033
195.0,199.59166
195.0,197.96007
197.0,196.39134
196.0,204.9545
196.0,211.04942
206.0,206.75232
197.0,213.11934
198.0,201.75276
198.0,210.55048
199.0,209.74034
200.0,200.75288
201.0,198.37776
201.0,207.21373
201.0,211.4181
202.0,208.22223
202.0,216.3706
203.0,215.02478
203.0,210.09254
203.0,207.57799
203.0,196.4892
203.0,197.74861
206.0,201.84694
203.0,218.85097
203.0,207.0122
212.0,214.6874
203.0,205.42912
202.0,205.19266
202.0,212.08362
203.0,193.26332
203.0,192.74063
202.0,210.35565
202.0,200.42401
202.0,211.30663
202.0,217.24344
219.0,221.2962
208.0,221.97673
206.0,211.18912
205.0,209.90045
216.0,209.5622
211.0,214.52373
214.0,209.07521
211.0,225.9493
210.0,217.40501
212.0,208.52122
207.0,209.18526
206.0,208.15935
205.0,205.26079
205.0,211.37701
207.0,221.92783
208.0,220.15271
210.0,214.41693
210.0,211.5398
210.0,215.98724
211.0,214.24673
210.0,214.0345
209.0,213.12773
212.0,215.82304
210.0,219.29852
210.0,217.08511
218.0,215.2434
212.0,216.23975
210.0,213.31467
219.0,214.82858
211.0,215.40335
210.0,216.35133
210.0,212.20943
210.0,216.44914
209.0,213.51364
208.0,207.68254
210.0,211.58998
209.0,209.68007
209.0,214.3405
211.0,218.08446
211.0,209.3863
210.0,214.59935
212.0,213.00682
210.0,212.96388
210.0,221.02551
216.0,212.2637
210.0,214.44977
209.0,212.50046
220.0,219.20334
209.0,214.743
207.0,214.69774
207.0,213.58665
211.0,216.21336
210.0,212.0277
209.0,210.78227
209.0,209.7862
204.0,204.06612
204.0,208.37279
204.0,206.8497
203.0,205.4522
203.0,205.69098
205.0,214.48576
205.0,203.00612
206.0,207.7339
210.0,212.22643
209.0,215.57738
209.0,217.53314
211.0,222.86479
209.0,214.10666
210.0,210.43636
211.0,213.03467
211.0,214.48947
211.0,214.19067
212.0,224.221
214.0,218.06314
214.0,220.89587
214.0,217.78539
214.0,209.59425
213.0,209.75136
213.0,215.22362
215.0,212.19652
213.0,213.4122
212.0,220.31601
220.0,216.97392
211.0,214.65602
210.0,210.75766
221.0,218.0296
212.0,213.84418
212.0,214.14203
212.0,213.99203
212.0,222.36281
212.0,216.53226
214.0,221.37306
216.0,218.36754
219.0,216.2309
220.0,218.40341
220.0,223.97842
219.0,223.75636
218.0,224.00462
218.0,223.4445
217.0,217.90582
217.0,225.32027
215.0,226.84169
213.0,222.30579
213.0,221.08685
214.0,221.08142
216.0,220.9183
218.0,218.54543
217.0,220.29327
219.0,218.97409
218.0,221.66272
215.0,221.71196
216.0,218.73122
216.0,220.04677
217.0,224.31537
219.0,230.19624
226.0,229.19662
230.0,224.72928
231.0,234.4018
234.0,238.69545
236.0,241.83495
251.0,241.31076
245.0,238.37488
219.8,240.82332
256.0,242.9788
255.0,260.18048
256.0,261.03232
255.0,259.83615
259.0,253.52956
249.0,250.82066
243.0,247.53914
231.0,245.09247
226.0,241.61331
225.0,243.53558
230.0,241.54549
232.0,237.86653
232.0,235.2299
232.0,236.37689
229.0,236.81778
228.0,236.65585
239.0,244.80122
235.0,242.56935
238.0,244.25945
249.0,243.8981
238.0,241.4799
237.0,243.40657
238.0,241.57881
238.0,239.78163
237.0,240.87828
261.0,250.06941
238.0,241.94847
238.0,239.87128
238.0,240.75937
240.0,241.9285
238.0,240.87762
238.0,237.8032
238.0,244.52733
237.0,242.99696
236.0,244.95952
240.0,239.69823
238.0,239.52829
236.0,246.02333
242.0,245.37654
236.0,241.46489
236.0,236.91638
236.0,242.34712
235.0,237.92368
234.0,243.60712
234.0,239.12605
235.0,239.93684
234.0,236.33783
234.0,236.44537
234.0,233.34593
235.0,234.95879
235.0,239.28311
235.0,241.20628
236.0,239.97426
236.0,240.89044
238.0,240.76643
234.0,238.45079
236.0,235.71567
240.0,236.56749
236.0,239.09267
237.0,235.3292
237.0,235.30066
236.0,234.57451
237.0,236.52385
237.0,235.52261
238.0,241.51422
239.0,242.3163
240.0,243.91591
242.0,245.6952
242.0,245.75165
243.0,248.6281
245.0,247.60075
246.0,245.17793
247.0,249.91248
254.0,249.77388
250.0,252.42886
250.0,254.28229
252.0,253.82431
260.0,257.4842
252.0,258.554
252.0,252.48509
252.0,250.7547
252.0,252.58452
252.0,251.29251
253.0,252.0933
253.0,253.88
253.0,256.10025
252.0,258.84558
252.0,250.53592
254.0,255.96794
254.0,260.26968
256.0,257.3697
256.0,256.9973
256.0,255.46242
256.0,259.4403
258.0,256.69394
257.0,258.2885
257.0,259.97995
258.0,257.69626
263.0,257.6078
257.0,260.14346
259.0,260.16925
259.0,257.84235
267.0,261.1911
260.0,263.84653
260.0,259.03778
260.0,256.12366
260.0,256.40363
260.0,257.96658
