Actual,Predicted
32300.0,31661.176
31000.0,31940.312
32400.0,32640.117
32300.0,31063.225
31600.0,32653.684
32200.0,32954.15
32000.0,33403.84
31500.0,34639.336
31600.0,33672.555
32000.0,30857.203
19421.363,25433.98
31800.0,25646.684
31800.0,31154.336
32100.0,34267.324
32000.0,35636.6
32600.0,36174.445
31500.0,33385.29
32000.0,33227.43
32100.0,32365.023
33400.0,32342.584
33000.0,31333.47
33200.0,33036.008
32900.0,32699.049
32800.0,34937.67
33000.0,35410.92
33200.0,34749.156
32400.0,35386.934
32600.0,31674.521
24633.879,29174.084
31900.0,28077.336
32300.0,31474.16
32000.0,32890.176
31900.0,33606.164
31700.0,34676.516
32700.0,33889.65
33100.0,32859.453
33600.0,33292.188
32400.0,31957.465
32000.0,33286.164
32700.0,32583.36
32300.0,30999.785
32700.0,31658.123
31100.0,31226.828
32500.0,32295.355
32400.0,33141.06
32000.0,33135.027
31400.0,31656.516
30600.0,31939.238
30200.0,31145.977
30900.0,31534.906
31300.0,31601.455
31000.0,31375.496
31000.0,32528.412
31600.0,31443.713
29600.0,31003.332
30400.0,31392.984
29300.0,30036.521
29600.0,30413.13
29700.0,28661.55
29300.0,28512.633
28800.0,28771.492
28100.0,29063.553
27800.0,29440.092
27900.0,29341.57
29100.0,29516.494
28100.0,28730.768
27700.0,28719.324
27200.0,27396.672
27000.0,27486.062
26700.0,27356.379
26400.0,27415.219
26600.0,27621.523
27100.0,27197.355
26900.0,27685.094
26600.0,27578.973
26500.0,26908.2
25900.0,25921.457
26000.0,26484.6
24600.0,26123.4
26500.0,25601.549
25700.0,27974.2
24200.0,26143.16
24700.0,24238.361
24700.0,25065.691
25600.0,24945.848
24600.0,24400.453
25100.0,24588.955
24600.0,24205.793
24000.0,24312.266
24300.0,23949.16
24400.0,24673.547
23200.0,23660.215
23400.0,22800.607
21800.0,23970.701
21600.0,23215.934
21800.0,22350.875
21900.0,21977.695
21300.0,21809.469
21200.0,22379.568
21600.0,21254.812
21900.0,21644.523
21000.0,20544.736
21500.0,21698.58
21000.0,21552.996
21400.0,21900.77
21900.0,22267.88
21900.0,22173.07
22300.0,22675.29
21900.0,22120.09
21200.0,21485.393
21700.0,21975.824
22000.0,22047.973
21900.0,22922.205
21700.0,20923.271
21600.0,21602.967
21400.0,21961.55
21800.0,22415.586
22300.0,22681.45
21800.0,22305.816
21400.0,21814.137
21200.0,22163.219
22200.0,21244.395
21200.0,21166.89
20400.0,20216.594
20500.0,21575.807
21000.0,20160.11
20100.0,19149.977
20200.0,21189.96
19900.0,20673.463
19500.0,18469.012
20200.0,20229.387
19400.0,20492.777
18900.0,21143.988
19500.0,18848.758
19900.0,19950.389
19900.0,19718.596
19400.0,18912.768
19300.0,19075.326
19500.0,19270.994
19900.0,18181.523
19100.0,20061.281
19300.0,18572.166
19100.0,19841.707
18900.0,17948.02
18600.0,19909.127
18100.0,19831.496
17800.0,18740.783
18000.0,18344.158
17600.0,19608.992
17600.0,19223.463
17700.0,18847.605
17500.0,19412.188
17700.0,18478.713
17200.0,18684.05
17300.0,17804.742
18000.0,18613.75
17500.0,17805.246
17800.0,18775.098
18100.0,18150.072
17600.0,18383.812
17700.0,18232.041
18300.0,17547.006
17200.0,19165.812
17600.0,17174.86
16800.0,17480.854
16800.0,17309.193
16500.0,16450.154
16300.0,16202.391
17200.0,16279.785
16300.0,16416.86
16200.0,16050.87
16000.0,17012.88
16400.0,14581.261
16100.0,17150.283
16500.0,17042.633
16300.0,17699.572
16700.0,17739.867
16700.0,15908.174
16700.0,15657.578
16300.0,17420.645
16100.0,16184.103
16000.0,16757.793
15200.0,15821.099
15101.105,14864.337
15300.0,15607.497
15600.0,15510.017
15500.0,15272.01
14800.0,14391.557
15100.0,15699.486
14600.0,15056.898
14800.0,15085.117
14400.0,15428.258
15100.0,15066.259
15200.0,15820.914
14700.0,15966.76
15500.0,15742.374
16400.0,16103.32
13900.0,14637.284
14600.0,14217.467
14900.0,14379.912
14900.0,14290.889
14900.0,14061.479
15600.0,14977.159
15000.0,15800.898
14800.0,14672.012
14000.0,13654.06
14400.0,14811.271
14000.0,13775.259
14500.0,14364.3
14500.0,14089.578
13700.0,13837.647
14300.0,13591.837
14200.0,14009.437
14000.0,14392.921
13500.0,13767.191
13300.0,13708.994
13400.0,13665.497
13500.0,13782.71
12900.0,12951.614
13600.0,14305.186
13900.0,13503.589
14300.0,13900.417
13900.0,14166.814
13500.0,14150.789
14100.0,14009.729
14400.0,13740.662
13900.0,14236.764
14000.0,14075.087
14500.0,14530.244
14600.0,14419.181
14800.0,14735.002
14600.0,14102.859
14500.0,14690.0
14300.0,14151.365
14400.0,14688.97
15500.0,14116.282
15400.0,14583.791
15900.0,15040.337
16500.0,16196.043
17300.0,16676.541
19800.0,18864.68
19500.0,19346.475
19500.0,19270.95
18500.0,18845.254
19000.0,20260.955
18600.0,18622.1
19300.0,18601.984
19800.0,19709.818
19100.0,19496.846
19800.0,18801.88
19800.0,20251.43
19600.0,19381.492
19300.0,19763.318
19100.0,19146.352
19400.0,20618.785
19600.0,19473.646
19100.0,19854.238
18500.0,20009.477
18700.0,19187.793
19000.0,19511.451
18600.0,19286.766
18600.0,18962.838
18600.0,18401.53
18100.0,18244.598
