Actual,Predicted
8.4,8.76753
8.4,8.704818
8.4,8.7095785
8.299999,8.725184
8.299999,8.711327
8.299999,8.702685
8.299999,8.662742
8.299999,8.620224
8.299999,8.6498375
8.299999,8.637814
8.2,8.595854
8.2,8.589862
8.2,8.5376835
8.2,8.520992
8.2,8.55092
8.2,8.503524
8.2,8.531839
8.2,8.550184
8.2,8.529684
8.2,8.609302
8.2,8.608475
8.2,8.593633
8.099999,8.592458
8.099999,8.556772
8.099999,8.552895
8.099999,8.515938
8.0,8.4325905
8.0,8.430361
8.0,8.424496
8.0,8.419677
7.9,8.353671
7.9,8.276959
7.9,8.330266
7.7999997,8.306663
7.7999997,8.241187
7.7999997,8.165707
7.7999997,8.155457
7.7999997,8.156937
7.7,8.123997
7.7,8.223018
7.7,8.163625
7.7,8.180655
7.7,8.096195
7.7,8.133727
7.7,8.173751
7.6000004,8.098265
7.6000004,8.074586
7.6000004,8.072353
7.6000004,8.029647
7.6000004,7.9688
7.5,7.9092937
7.5,7.8545966
7.5,7.879757
7.5,7.865018
7.5,7.8652325
7.5,7.8333807
7.5,7.8259416
7.5,7.841416
7.4,7.8277097
7.4,7.8436503
7.4,7.8524523
7.4,7.8230367
7.4,7.8083606
7.4,7.7764053
7.4,7.8946614
7.4,7.8266435
7.4,7.8556027
7.4,7.9032016
7.4,7.8870435
7.4,7.85681
7.4,7.7392545
7.4,7.8116226
7.4,7.852388
7.4,7.848824
7.4,7.870333
7.4,7.8756742
7.4,7.8243847
7.4,7.9065046
7.4,7.8811707
7.4,7.918551
7.4,7.888343
7.4,7.901375
7.4,7.874898
7.4,7.9357076
7.4,7.968885
7.4,7.9326763
7.4,7.963183
7.4,7.9869695
7.4,8.020341
7.4,8.009359
7.4,7.9778924
7.4,7.9813547
7.4,8.0290575
7.4,7.999038
7.4,7.985796
7.4,7.9603086
7.4,8.015312
7.4,7.9312077
7.4,7.940568
7.4,8.008258
7.4,7.9826655
7.4,7.9873333
7.4,7.9811616
7.4,8.0038
7.4,8.008351
7.4,7.9608564
7.4,7.9565306
7.4,8.017076
7.4,7.9899483
7.4,8.004887
7.4,8.007859
7.4,8.015235
7.4,8.073308
7.5,8.0813
7.5,8.064989
7.5,8.091462
7.5,8.087061
7.5,8.113841
7.5,8.097965
7.5,8.157187
7.5,8.136622
7.5,8.112474
7.5,8.111506
7.5,8.110611
7.5,8.113986
7.5,8.105011
7.5,8.118469
7.4,8.077289
7.4,8.044074
7.4,8.007328
7.4,7.9476156
7.4,7.9679933
7.4,7.926985
7.4,7.9683313
7.4,7.979291
7.4,7.951659
7.4,7.941222
7.4,7.9846687
7.4,7.954026
7.4,7.9554663
7.4,7.961513
7.4,7.944346
7.4,7.924737
7.4,7.912453
7.4,7.9479103
7.4,7.903198
7.4,7.8951774
7.4,7.8446
7.4,7.8501987
7.4,7.803023
7.2999997,7.824903
7.2999997,7.7994113
7.2999997,7.762816
7.2999997,7.7133474
7.2999997,7.7144327
7.2999997,7.6803136
7.2999997,7.7008944
7.2,7.671016
7.2,7.627745
7.2,7.589518
7.2,7.5395303
7.2,7.561079
7.2,7.5132504
7.2,7.5280676
7.2,7.5114827
7.2,7.504044
7.2,7.4261446
7.2,7.5108957
7.2,7.473871
7.2,7.510973
7.2,7.460682
7.1,7.4048786
7.1,7.455942
