Actual,Predicted
38.8,39.964897
39.5,38.725224
39.5,38.59842
38.4,38.608727
38.6,39.091232
38.5,38.01974
40.3,39.489124
40.8,39.719135
39.8,38.63591
41.699997,39.80481
40.9,40.772083
41.4,41.976837
39.4,40.98015
40.4,39.834198
42.7,40.668175
40.9,43.165524
43.1,42.227306
43.3,43.10072
42.5,43.787895
43.6,43.263226
43.5,44.29875
44.8,46.278767
47.5,47.49813
44.0,47.647903
48.0,47.056988
51.199997,51.028893
52.6,52.518967
55.3,54.339897
53.2,56.313705
54.6,54.71136
54.0,56.603874
56.7,56.266434
55.4,55.427925
52.5,53.200188
51.9,55.42467
54.3,54.89725
55.6,54.826283
52.2,55.422157
50.4,53.827286
51.0,51.889114
50.8,52.528824
52.7,51.298996
49.5,51.6131
50.5,52.85048
51.3,51.995766
51.8,50.59564
47.6,51.12683
52.7,53.0766
54.699997,54.7578
49.2,53.33336
52.1,52.36693
55.4,54.684418
56.9,55.50083
53.300003,54.70707
55.699997,57.03852
56.4,55.833855
55.199997,57.12281
53.1,57.47245
58.5,60.74465
58.0,60.82724
59.3,63.105217
59.6,60.22367
50.5,57.909786
58.8,55.674286
58.5,59.143642
59.8,61.26141
57.2,57.279976
55.0,59.044247
56.5,57.07431
55.6,56.721756
53.1,55.402657
55.6,57.577026
54.1,56.866295
51.4,54.813602
50.699997,52.202866
46.9,50.50334
50.0,48.630104
46.8,48.565556
46.8,48.707703
46.6,47.727104
45.4,47.8769
43.2,47.308876
45.1,46.337093
41.2,44.74867
38.9,40.66465
34.8,36.388954
41.9,39.225533
38.9,40.04311
34.5,38.87115
36.8,37.38159
37.4,36.199947
35.0,35.065212
35.1,36.052265
34.8,37.539597
34.8,36.915455
34.9,35.330074
34.0,35.679176
33.899998,35.24695
32.899998,33.407986
30.6,31.116066
32.3,31.950489
30.1,31.432476
31.0,31.330685
29.4,29.960361
30.5,32.02542
30.4,30.643343
30.6,30.513483
26.699999,28.945559
29.4,28.419392
27.9,29.302467
29.4,28.460255
27.699999,28.606813
28.0,28.91417
27.0,28.83517
29.699999,27.75007
29.1,30.293276
26.3,28.52372
28.4,28.374512
28.699999,29.259758
28.4,31.182962
31.3,30.982132
27.0,30.99794
27.599998,31.381731
30.4,30.955824
28.099998,29.438555
28.3,30.781008
26.699999,25.82579
25.9,24.003819
24.5,21.715738
26.099998,25.741045
25.599998,33.938396
53.887142,48.388947
21.8,38.297543
24.699999,29.326828
22.4,22.408253
22.599998,20.799196
22.599998,21.914585
23.5,25.374348
23.0,23.577547
20.8,21.368092
21.7,21.378798
22.3,18.470272
21.0,22.383383
21.8,23.931019
23.0,25.465328
22.4,20.625511
21.4,22.594597
21.7,27.729103
29.1,30.71805
24.4,25.209377
29.599998,27.827307
27.599998,27.519424
24.3,26.544632
25.4,23.744965
24.699999,25.74085
22.4,25.571419
22.099998,24.736752
21.9,21.802681
19.4,22.658607
19.2,22.114117
21.2,20.55236
19.8,19.795698
20.0,22.604973
18.699999,20.084927
19.5,22.00185
20.899998,21.099485
18.0,19.338463
20.3,20.647242
18.699999,21.051622
22.099998,22.660032
23.3,23.88693
24.599998,25.352339
20.199999,26.46706
21.3,21.725063
22.0,20.70573
19.9,24.66653
19.9,22.484547
20.899998,20.795528
20.5,20.802933
18.3,20.236225
17.9,20.216297
19.7,18.44345
19.7,19.886211
18.599998,19.548336
19.3,19.83054
20.899998,22.627533
23.0,22.855263
21.599998,23.527887
21.8,22.49649
20.8,21.883572
20.899998,20.736547
19.7,19.903103
18.399998,20.986431
19.2,21.353779
18.699999,18.604298
18.399998,19.366693
20.599998,20.074635
19.5,18.539272
18.699999,20.202408
24.4,25.608856
19.3,25.079424
18.099998,22.134521
17.9,20.705734
16.9,19.167933
18.199999,20.165993
16.599998,18.564156
17.9,19.717184
15.699999,19.019968
16.3,17.178741
17.0,18.72279
16.7,16.799698
16.5,16.672523
17.2,17.04557
14.499998,16.897182
16.7,16.937473
19.099998,19.41063
17.8,18.095684
16.3,20.24632
18.0,18.921505
17.599998,17.781826
16.9,18.10459
16.599998,16.94375
17.2,21.062397
19.2,21.08836
16.7,18.745876
17.5,17.775822
16.099998,17.816265
16.099998,17.74356
15.999999,17.693039
16.099998,15.898451
18.699999,17.4482
19.099998,21.431843
19.0,21.681963
19.099998,22.920105
18.8,20.568802
21.4,18.434868
18.0,17.519651
18.699999,19.072174
19.8,16.33912
20.5,24.193048
45.6,35.082928
49.2,48.87977
47.3,52.934746
42.1,46.00289
31.4,38.71598
28.699999,31.76998
27.099998,28.52096
33.2,35.217175
30.6,32.971004
33.399998,31.767242
31.6,35.835793
42.1,44.066483
50.699997,48.077972
54.4,53.47895
55.199997,55.056717
62.399998,57.666245
64.4,59.20999
65.8,59.001564
59.699997,57.50364
56.0,57.85688
53.1,52.406425
50.699997,56.026947
