Actual,Predicted
7.7,7.72024
7.7,7.739494
7.7,7.7243757
7.7,7.720666
7.7,7.6984715
7.7,7.7518067
7.7,7.7412314
7.7,7.739781
7.7,7.7363048
7.7,7.731732
7.7,7.750547
7.7,7.777984
7.7,7.7713685
7.7,7.713278
7.7,7.708366
7.6,7.6786575
7.6,7.622612
7.6,7.6135335
7.6,7.620617
7.6,7.6542196
7.7,7.6870646
7.7,7.6830773
7.6,7.670103
7.7,7.712622
7.6,7.670361
7.7,7.6942344
7.7,7.6722083
7.6,7.6521864
7.6,7.633954
7.6,7.645613
7.6,7.627767
7.6,7.622187
7.6,7.619373
7.6,7.640873
7.6,7.6341724
7.6,7.6180305
7.6,7.6241536
7.6,7.615672
7.6,7.607015
7.6,7.6186543
7.6,7.625489
7.6,7.6220694
7.6,7.6084957
7.6,7.593964
7.6,7.6350636
7.6,7.6479516
7.7,7.6746826
7.6,7.66455
7.6,7.6441126
7.6,7.6095243
7.6,7.605775
7.6,7.6056767
7.6,7.6352777
7.6,7.6468544
7.6,7.630886
7.6,7.6142125
7.6,7.635547
7.6,7.6126337
7.6,7.611843
7.6,7.598615
7.6,7.6162596
7.6,7.5810595
7.6,7.6175756
7.6,7.5867257
7.6,7.6190934
7.6,7.648824
7.6,7.61638
7.6,7.6253953
7.6,7.5890393
7.6,7.6083674
7.6,7.6014915
7.6,7.610507
7.6,7.620885
7.6,7.6201525
7.6,7.612138
7.6,7.624495
7.6,7.6099453
7.6,7.6074033
7.6,7.608642
7.6,7.61373
7.6,7.62744
7.6,7.604537
7.6,7.6010423
7.6,7.602584
7.6,7.590961
7.6,7.608298
7.6,7.6040106
7.6,7.610367
7.6,7.606139
7.6,7.598593
7.6,7.597525
7.6,7.597817
7.6,7.5980096
7.6,7.590144
7.6,7.586079
7.6,7.5774736
7.6,7.6054873
7.6,7.6003213
7.6,7.6061544
7.6,7.5957847
7.6,7.6008587
7.6,7.60208
7.6,7.5928044
7.6,7.6086283
7.6,7.5913982
7.6,7.608263
7.6,7.605213
7.6,7.5933766
7.6,7.6131544
7.6,7.57747
7.6,7.5960026
7.6,7.584767
7.6,7.6029925
7.6,7.59102
7.6,7.586328
7.6,7.576598
7.6,7.5994954
7.6,7.619457
7.6,7.603059
7.6,7.6064997
7.6,7.5958476
7.6,7.589324
7.6,7.574684
7.6,7.5822244
7.6,7.5889225
7.6,7.581812
7.6,7.584724
7.6,7.5605145
7.6,7.5862455
7.6,7.6236987
7.7,7.6760554
7.7,7.676122
7.7,7.6974306
7.7,7.685908
7.7,7.6725135
7.6,7.661527
7.7,7.675097
7.7,7.705275
7.7,7.7087893
7.7,7.700713
7.7,7.695721
7.7,7.6863985
7.7,7.715951
7.7,7.7215953
7.7,7.7025166
7.7,7.711841
7.7,7.705548
7.7,7.6848435
7.7,7.672314
7.7,7.719949
7.7,7.7416577
7.7,7.7415304
7.7,7.716758
7.7,7.7099233
7.7,7.68648
7.7,7.676455
7.7,7.6837974
7.7,7.7043567
7.7,7.706147
7.7,7.7095256
7.7,7.7082014
7.7,7.716003
7.7,7.7006145
7.7,7.7114105
7.7,7.704092
7.7,7.7010884
7.7,7.7066555
7.7,7.6894383
7.7,7.662827
7.7,7.6965294
7.7,7.6961308
7.7,7.6992636
7.7,7.7117743
7.7,7.7123795
7.7,7.702379
7.7,7.6946936
7.7,7.6879845
7.7,7.6797957
7.7,7.697329
7.7,7.697371
7.7,7.706846
7.7,7.7060175
7.7,7.7277274
7.7,7.7091074
7.7,7.719874
7.7,7.713973
7.7,7.696685
7.7,7.685661
7.7,7.6930556
7.7,7.708773
7.7,7.6891594
7.7,7.686943
7.7,7.6842246
7.7,7.6934114
7.7,7.695859
7.7,7.6942506
7.7,7.6968074
7.7,7.6996675
7.7,7.7328615
7.8,7.766404
7.8,7.788179
7.8,7.81221
7.8,7.812683
7.8,7.79904
7.8,7.79053
7.7,7.7681108
7.7,7.749551
7.7,7.7154174
7.7,7.6967587
7.7,7.721349
7.8,7.7469425
7.7,7.7706885
7.7,7.7686667
7.8,7.7944274
7.7,7.7809863
7.8,7.782973
7.8,7.758533
7.7,7.7513046
7.8,7.7872934
7.7,7.781354
7.7,7.7476807
7.8,7.777871
7.7,7.794166
7.8,7.7944136
7.8,7.778352
7.8,7.8056426
7.8,7.7939696
7.8,7.7868357
7.7,7.7578206
7.7,7.796722
7.8,7.809742
7.7,7.7834864
7.8,7.7794027
7.8,7.8009324
7.8,7.819238
7.8,7.8097878
7.8,7.814546
7.8,7.800124
7.8,7.77139
7.7,7.748724
7.7,7.70964
7.7,7.699931
7.7,7.686916
7.7,7.702326
7.7,7.7244625
7.7,7.7523484
7.8,7.7924476
7.8,7.7573442
7.7,7.746699
7.7,7.738194
7.7,7.694239
7.7,7.7032037
7.7,7.697186
7.7,7.693176
7.7,7.706471
7.7,7.697684
7.7,7.69206
7.7,7.7009287
7.7,7.694266
7.7,7.7154474
7.7,7.7151103
7.7,7.6937056
7.7,7.6994715
7.7,7.692141
7.7,7.7056093
7.7,7.709354
7.7,7.7018347
7.7,7.706413
7.7,7.710412
7.7,7.69459
7.7,7.716111
7.7,7.6674895
7.7,7.6792107
7.7,7.673759
7.7,7.700154
7.7,7.6888576
7.7,7.7080517
7.7,7.7102427
7.7,7.7261953
7.7,7.740321
7.7,7.7330217
7.7,7.69313
7.7,7.669121
7.6,7.659654
7.7,7.6878095
7.6,7.657356
7.7,7.7016068
7.7,7.6870203
7.7,7.7098093
7.7,7.7534595
7.7,7.718813
7.7,7.717101
7.7,7.7194657
7.7,7.68558
7.7,7.679569
7.7,7.694795
7.7,7.712278
7.7,7.7195907
7.7,7.7431555
7.7,7.7076283
7.7,7.725766
7.7,7.736144
7.7,7.7070556
7.7,7.7319746
7.7,7.7022095
7.7,7.734799
7.7,7.725901
7.7,7.704831
7.7,7.718128
7.7,7.710702
7.7,7.69773
7.7,7.6922607
7.7,7.702381
7.7,7.6859784
7.7,7.720562
7.7,7.720123
7.8,7.7593555
7.7,7.745813
7.8,7.7502313
7.8,7.773255
7.8,7.810876
7.7,7.766992
7.7,7.768634
7.8,7.733592
7.7,7.7354608
7.8,7.7482176
7.7,7.7452765
7.8,7.758772
7.7,7.76821
7.8,7.767635
7.8,7.7723866
7.7,7.7532396
7.7,7.7585864
7.8,7.762351
7.8,7.774591
7.8,7.814149
7.7,7.765669
7.8,7.76095
7.8,7.7762213
7.8,7.814733
7.8,7.7968636
7.8,7.798308
7.8,7.8066545
7.8,7.801344
7.8,7.8213267
7.8,7.7987266
7.8,7.8459506
7.8,7.7927885
7.8,7.822955
7.8,7.7786336
7.8,7.8066206
7.8,7.7792478
7.8,7.79762
7.8,7.801086
7.8,7.8006544
7.8,7.806128
7.8,7.816237
7.8,7.834517
7.8,7.829297
7.8,7.831073
7.8,7.8186016
7.8,7.80878
7.8,7.810627
7.7,7.817995
7.8,7.854293
7.8,7.8163247
7.8,7.8347044
7.8,7.811481
7.8,7.802778
7.8,7.7498527
7.8,7.766206
7.8,7.796011
7.8,7.8088703
7.8,7.844431
7.8,7.8382525
7.8,7.794791
7.8,7.786495
7.7,7.751895
7.8,7.7829723
7.8,7.8498945
7.8,7.8135896
7.7,7.7467213
7.8,7.7870283
7.8,7.756368
7.8,7.800176
7.8,7.8059278
7.8,7.7903776
7.7,7.766061
7.7,7.704185
7.7,7.720954
7.8,7.7247133
7.8,7.7855654
7.8,7.764615
7.7,7.7764773
7.7,7.77348
7.8,7.8016725
7.8,7.78429
7.7,7.7557364
7.8,7.8092246
7.8,7.8193445
7.8,7.7835894
